id;name;grams;kcal;proteins;fat;carbs;status
300;Morlinki. parowki dla dzieci;100;223;12.4;19.1;0.4;unconfirmed
301;Morszczuk swiezy;100;89;17.2;2.2;0;unconfirmed
302;Morwa;100;48;1.4;0.4;9.8;unconfirmed
303;Muesli;100;370;9.1;6.8;68.1;unconfirmed
304;Musztarda;100;168;5.7;6.4;22;unconfirmed
305;Napoleonka. ciastko;100;324;5;16;39.8;unconfirmed
306;Napoj Coca Cola;100;42;0;0;10.4;unconfirmed
307;Napoj Coca Cola light;100;0.24;0;0;0;unconfirmed
308;Napoj Kubus Multiwitamina;100;48;0.3;0.1;11.5;unconfirmed
309;Napoj Mirinda;100;52;0;0;12.9;unconfirmed
310;Napoj Pepsi Cola;100;42;0;0;10.4;unconfirmed
311;Napoj Pepsi Cola light;100;0.24;0;0;0;unconfirmed
312;Napoj Red Bull;100;45;0;0;11.3;unconfirmed
313;Napoj Sprite;100;42;0;0;10.5;unconfirmed
314;Nektar owocowy;100;63;0.2;0.4;14.6;unconfirmed
315;Nektarynka;100;53;0.9;0.2;11.8;unconfirmed
316;Nesquik. kakao. proszek;100;380;3.5;3;84.3;unconfirmed
317;Nestle Corn Flakes. platki kukurydziane;100;370;7.3;0.8;83.3;unconfirmed
318;Nestle Lion. baton;100;491;7.4;22.7;64.1;unconfirmed
319;Nogi wieprzowe;100;276;23;20.4;0;unconfirmed
320;Nutella. krem czekoladowy;100;533;6.5;31;57;unconfirmed
321;Ocet winny;100;20;0;0;5;unconfirmed
322;Ogorek;100;15;0.7;0.1;2.9;unconfirmed
323;Ogorek kiszony;100;12;0.7;0.2;1.9;unconfirmed
324;Olej kukurydziany;100;900;0;100;0;unconfirmed
325;Olej lniany;100;900;0;100;0;unconfirmed
326;Olej rzepakowy;100;900;0;100;0;unconfirmed
327;Olej slonecznikowy;100;900;0;100;0;unconfirmed
328;Olej sojowy;100;900;0;100;0;unconfirmed
329;Oliwa z oliwek;100;897;0;99.6;0.2;unconfirmed
330;Oliwki;100;147;1.4;13.9;4.1;unconfirmed
331;Orzechy arachidowe;100;595;25.7;46.1;19.2;unconfirmed
332;Orzechy laskowe;100;695;14.4;65.9;11;unconfirmed
333;Orzechy nerkowca;100;638;17;54;24;unconfirmed
334;Orzechy pistacjowe;100;618;20.8;51.6;17.5;unconfirmed
335;Orzechy wloskie;100;679;16;60.3;18;unconfirmed
336;Orzeszki ziemne;100;634;26;53;13.3;unconfirmed
337;Ostrygi;100;85;5;5;5;unconfirmed
338;Otreby pszenne;100;183;16;4.6;61.9;unconfirmed
339;Ozory cielece;100;106;17.1;4.2;0;unconfirmed
340;Ozory wieprzowe;100;166;16.5;11.1;0;unconfirmed
341;Paluszki;100;384;9.9;4.9;75.2;unconfirmed
342;Pani Domu. margaryna;100;360;0;40;0;unconfirmed
343;Papaja;100;43;0.6;0.1;9.8;unconfirmed
344;Papryka czerwona;100;35;1.2;0.3;6.9;unconfirmed
345;Papryka konserwowa;100;37;0.8;1.5;5;unconfirmed
346;Paprykarz Szczecinski;100;181;9.9;11.9;8.6;unconfirmed
347;Parowki dla dzieci Morlinki;100;223;12.4;19.1;0.4;unconfirmed
348;Parowki popularne;100;347;9.5;34.3;0;unconfirmed
349;Parowki z kurczaka;100;262;10.8;22.4;4.2;unconfirmed
350;Pasternak;100;80;1.2;0.3;18;unconfirmed
351;Pasztet popularny;100;405;13.2;38.2;2;unconfirmed
352;Pasztet z drobiu;100;270;9.6;23.8;4.4;unconfirmed
353;Paczki;100;376;6;16;52;unconfirmed
354;Pepsi Cola. napoj;100;42;0;0;10.4;unconfirmed
355;Pepsi Cola light. napoj;100;0.24;0;0;0;unconfirmed
356;Pestki dyni;100;596;29;46.7;15;unconfirmed
357;Pedy bambusa;100;34;2.6;0.3;5.2;unconfirmed
358;Pedy bambusa. konserwa. odsaczone;100;23;1.7;0.4;3.2;unconfirmed
359;Pieczarka suszona;100;331;19.1;2.1;49.3;unconfirmed
360;Pieczarka swieza;100;24;2.6;0.4;2.5;unconfirmed
361;Pieczywo chrupkie pszenne Wasa;100;360;12;2.2;73;unconfirmed
362;Pierogi leniwe mrozone;100;157;7.3;0.8;30.2;unconfirmed
363;Pierogi ruskie mrozone;100;215;7.2;3.8;37.9;unconfirmed
364;Pierogi z kapusta i grzybami mrozone;100;209;5;5.7;34.5;unconfirmed
365;Pierogi z miesem mrozone;100;255;10.5;8.2;34.8;unconfirmed
366;Pierogi z serem mrozone;100;198;10.9;1;36.4;unconfirmed
367;Pierogi z truskawkami mrozone;100;194;4.3;0.8;42.4;unconfirmed
368;Piernik czekoladowy;100;317;4.9;11.8;74.3;unconfirmed
369;Piersi bez skory indycze;100;109;21.3;2.6;0;unconfirmed
370;Piersi bez skory z kurczaka;100;100;21.5;1.3;0;unconfirmed
371;Piersi ze skora z kurczaka;100;155;19.3;8.6;0;unconfirmed
372;Pietruszka korzen;100;83;2.6;0.5;17.1;unconfirmed
373;Pietruszka liscie;100;60;3.7;1;9;unconfirmed
374;Pikling;100;216;21.8;14.3;0;unconfirmed
375;Piwo bezalkoholowe;100;27;0.2;0;5.2;unconfirmed
376;Piwo ciemne pelne;100;42;0.4;0;4.6;unconfirmed
377;Piwo jasne mocne;100;64;7;0;5.4;unconfirmed
378;Piwo jasne pelne;100;49;0.5;0;3.8;unconfirmed
379;Pizza z pieczarkami i cebula;100;296;12;13.3;32.1;unconfirmed
380;Pizza z szynka;100;223;9.8;2.5;40.2;unconfirmed
381;Planta. tluszcz roslinny;100;900;0;100;0;unconfirmed
382;Platki jeczmienne;100;389;9.8;3.6;79.4;unconfirmed
383;Platki kukurydziane;100;385;6.9;2.5;83.6;unconfirmed
384;Platki kukurydziane Nestle Corn Flakes;100;370;7.3;0.8;83.3;unconfirmed
385;Platki owsiane;100;390;11.9;7.2;69.3;unconfirmed
386;Platki pszenne;100;387;9;3;81;unconfirmed
387;Platki zytnie;100;385;6.4;3.2;82.6;unconfirmed
388;Poledwica wolowa;100;112;20.1;3.5;0;unconfirmed
389;Pomidor;100;29;0.9;0.5;5.2;unconfirmed
390;Por;100;47;1.7;0.1;9.9;unconfirmed
391;Pomarancza;100;51;0.9;0.2;11.3;unconfirmed
392;Popcorn bez tluszczu;100;397;12;4.2;77.9;unconfirmed
393;Popcorn z tluszczem;100;518;9;28.1;57.1;unconfirmed
394;Porzeczki biale;100;63;0.4;0.4;14.5;unconfirmed
395;Porzeczki czarne;100;84;1.5;0.9;17.4;unconfirmed
396;Porzeczki czerwone;100;64;1.3;0.4;13.8;unconfirmed
397;Powidla sliwkowe;100;218;1;0.2;53;unconfirmed
398;Poziomki;100;41;0.8;0.5;8.3;unconfirmed
399;Precelki;100;385;9.1;3.5;79.5;unconfirmed
400;Prince Polo. wafel;100;534;4.8;31.5;57.5;unconfirmed
401;Princessa. wafel;100;562;4.1;34.6;58.4;unconfirmed
402;Przyprawa do zup Maggi;100;17;2.7;0;1.5;unconfirmed
403;Pstrag swiezy;100;96;19.2;2.1;0;unconfirmed
404;Ptys z bita smietana. ciastko;100;352;5.4;25.2;25.8;unconfirmed
405;Pyzy z miesem mrozone;100;169;5.2;4.9;26.2;unconfirmed
406;Pyzy ziemniaczane mrozone;100;140;1.7;0.5;32.2;unconfirmed
407;Rabarabar;100;18;0.5;0.1;3.8;unconfirmed
408;Raffaello. czekoladki;100;600;9.7;46.6;35.4;unconfirmed
409;Rama Classic. margaryna;100;631;0;70;0.2;unconfirmed
410;Red Bull. napoj;100;45;0;0;11.3;unconfirmed
411;Rodzynki;100;298;2.3;0.5;71.2;unconfirmed
412;Rostbef wolowy;100;152;21.5;7.3;0;unconfirmed
413;Rozbratel wolowy;100;158;16.7;10.1;0;unconfirmed
