270;Margaryna Vita;360;0;40;0;100;jedzenie;unconfirmed
271;Markizy. ciastka;487;5.6;23;64.3;100;jedzenie;unconfirmed
272;Mars. baton;454;3.6;18.2;68.9;100;jedzenie;unconfirmed
273;Maslo ekstra;748;0.7;82.5;0.7;100;jedzenie;unconfirmed
274;Maslo roslinne;747;0;83;0;100;jedzenie;unconfirmed
275;Maslo smietankowe;670;1.1;73.5;1.1;100;jedzenie;unconfirmed
276;Maslanka 0.5% tluszczu;34;3.3;0.5;4;100;jedzenie;unconfirmed
277;Maczka ziemniaczana;339;0.6;0.1;83.9;100;jedzenie;unconfirmed
278;Maka pszenna 500;347;9.2;1.2;74.9;100;jedzenie;unconfirmed
279;Maka pszenna 550;348;9.4;1.6;74.1;100;jedzenie;unconfirmed
280;Melon;16;0.4;0.1;3.4;100;jedzenie;unconfirmed
281;Metka;419;15;31;20;100;jedzenie;unconfirmed
282;Mielonka;206;17;14;2.5;100;jedzenie;unconfirmed
283;Migdaly;640;18.5;54;19.5;100;jedzenie;unconfirmed
284;Milky Way. baton;447;3.6;16.2;71.8;100;jedzenie;unconfirmed
285;Mintaj swiezy;72;16.6;0.6;0;100;jedzenie;unconfirmed
286;Miod pszczeli;319;0.3;0;79.5;100;jedzenie;unconfirmed
287;Mirinda. napoj;52;0;0;12.9;100;jedzenie;unconfirmed
288;Mleko 0% tluszczu;33;3.4;0;4.8;100;jedzenie;unconfirmed
289;Mleko 0.5% tluszczu;36;3.2;0.5;4.7;100;jedzenie;unconfirmed
290;Mleko 2% tluszczu;47;3;2;4.3;100;jedzenie;unconfirmed
291;Mleko 3.2% tluszczu;58;3;3.2;4.3;100;jedzenie;unconfirmed
292;Mleko jogurtowe Actimel;88;2.7;1.5;16;100;jedzenie;unconfirmed
293;Mleko kozie;72;3.3;4.5;4.6;100;jedzenie;unconfirmed
294;Mleko owcze;107;6.1;6.9;5.1;100;jedzenie;unconfirmed
295;Mleko w proszku pelne;479;27;24;38.7;100;jedzenie;unconfirmed
296;Mleko zageszczone nieslodzone;132;6.6;7.5;9.4;100;jedzenie;unconfirmed
297;Mleko zageszczone slodzone;323;7.5;8;55.3;100;jedzenie;unconfirmed
298;Monte. deser czekoladowy;195;2.8;13.3;15.9;100;jedzenie;unconfirmed
299;Morele ;52;0.7;0.2;11.9;100;jedzenie;unconfirmed
300;Morele suszone;308;4.5;0;72;100;jedzenie;unconfirmed
301;Morlinki. parowki dla dzieci;223;12.4;19.1;0.4;100;jedzenie;unconfirmed
302;Morszczuk swiezy;89;17.2;2.2;0;100;jedzenie;unconfirmed
303;Morwa;48;1.4;0.4;9.8;100;jedzenie;unconfirmed
304;Muesli;370;9.1;6.8;68.1;100;jedzenie;unconfirmed
305;Musztarda;168;5.7;6.4;22;100;jedzenie;unconfirmed
306;Napoleonka. ciastko;324;5;16;39.8;100;jedzenie;unconfirmed
307;Napoj Coca Cola;42;0;0;10.4;100;jedzenie;unconfirmed
308;Napoj Coca Cola light;0.24;0;0;0;100;jedzenie;unconfirmed
309;Napoj Kubus Multiwitamina;48;0.3;0.1;11.5;100;jedzenie;unconfirmed
